,Delay OID,Description,Engine Stopped Flag,Field Notification Required Flag,Production Reporting Only Flag,Delay Class Name,Delay Class Category Name,Target Machine Name,Target Machine Class Name,Target Machine Class Description,Target Machine Class Category Name,Delay Start Timestamp (GMT8),Delay Finish Timestamp (GMT8),Delay Finish - Start
8466,10722523194,Daily Service,N,Y,Y,2060_Relocation,Scheduled Process Down,EX7020,LBH R9400,Liebherr R9400 Excavator,Shovel Classes,27-07-2020 15:08,27-07-2020 15:11,132
8467,10722523208,MACHINE GEN Started a delay: 2010_Meal_Break,Y,N,N,2010_Meal_Break,Scheduled Process Down,WL6013,Cat992K,Caterpillar 992 K Series Wheel Loader,Loader Classes,27-07-2020 15:08,27-07-2020 15:41,1976
8468,10722523710, - [STOP_MACHINE : [POSITIONING]],N,N,Y,8200 Health Event,Unscheduled Equipment Down,DT5236,CAT 793F CMD,Caterpillar 793 F Autonomous Mining Truck,Truck Classes,27-07-2020 15:10,27-07-2020 15:13,179
8469,10722523812,MACHINE GEN Started a delay: 2020_Refuelling,Y,N,N,2020_Refuelling,Scheduled Process Down,EX7020,LBH R9400,Liebherr R9400 Excavator,Shovel Classes,27-07-2020 15:11,27-07-2020 15:41,1800
8470,10722524466,MACHINE GEN Started a delay: 4070_Wait_on_Access,N,N,Y,4070_Wait_on_Access,Unscheduled Process Down,EX8044,LBH R996B,Liebherr R996 B Series Shovel,Shovel Classes,27-07-2020 15:13,27-07-2020 15:49,2158
8471,10722524980,MACHINE GEN Started a delay: 8000 Survey and Face Advance work,N,N,Y,8000 Survey and Face Advance work,Unscheduled Process Down,EX7021,LBH R9400,Liebherr R9400 Excavator,Shovel Classes,27-07-2020 15:15,27-07-2020 15:19,216
8472,10722527811,MACHINE GEN Started a delay: 4030_Road/Face/Bench_Preparation,N,N,Y,4030_Road/Face/Bench_Preparation,Unscheduled Process Down,EX7154,LBH R9400,Liebherr R9400 Excavator,Shovel Classes,27-07-2020 15:19,27-07-2020 15:21,141
8473,10722530075,,N,Y,Y,7470 Office Machine Lock (Single Truck),Unscheduled Process Down,DT5296,CAT 793F CMD,Caterpillar 793 F Autonomous Mining Truck,Truck Classes,27-07-2020 15:21,27-07-2020 15:22,13
8474,10722531982,,Y,Y,N,2020_Refuelling,Scheduled Process Down,DT5236,CAT 793F CMD,Caterpillar 793 F Autonomous Mining Truck,Truck Classes,27-07-2020 15:20,27-07-2020 15:39,1129
8475,10722532541,Data link fault,Y,N,N,5000_Unscheduled_Maintenance,Unscheduled Equipment Down,DT5162,CAT 793F CMD,Caterpillar 793 F Autonomous Mining Truck,Truck Classes,27-07-2020 15:30,27-07-2020 15:34,211
8476,10722532727,MACHINE GEN Started a delay: 2110_Operator_Hot_Seat,N,N,Y,2110_Operator_Hot_Seat,Scheduled Process Down,EX8047,LBH R996B,Liebherr R996 B Series Shovel,Shovel Classes,27-07-2020 15:31,27-07-2020 15:36,271
8477,10722532898,MACHINE GEN Started a delay: 8000 Survey and Face Advance work,N,N,Y,8000 Survey and Face Advance work,Unscheduled Process Down,EX7021,LBH R9400,Liebherr R9400 Excavator,Shovel Classes,27-07-2020 15:32,27-07-2020 15:33,87
8478,10722533267,MACHINE GEN Started a delay: 2110_Operator_Hot_Seat,N,N,Y,2110_Operator_Hot_Seat,Scheduled Process Down,EX7154,LBH R9400,Liebherr R9400 Excavator,Shovel Classes,27-07-2020 15:33,27-07-2020 15:38,281
8479,10722533528,Data Link Fault,Y,Y,N,5000_Unscheduled_Maintenance,Unscheduled Equipment Down,DT5162,CAT 793F CMD,Caterpillar 793 F Autonomous Mining Truck,Truck Classes,27-07-2020 15:34,27-07-2020 21:44,22205
8480,10722535397,A scheduled assignment arrival delay.,Y,Y,N,2020_Refuelling,Scheduled Process Down,DT5407,CAT 793F CMD,Caterpillar 793 F Autonomous Mining Truck,Truck Classes,27-07-2020 15:42,27-07-2020 15:53,692
8481,10722535948,MACHINE GEN Started a delay: 4000_No_Operator,Y,N,N,4000_No_Operator,Unscheduled Process Down,EX7020,LBH R9400,Liebherr R9400 Excavator,Shovel Classes,27-07-2020 15:44,27-07-2020 15:50,387
8482,10722536689,MACHINE GEN Started a delay: 4020_Wait_on_Equipment,N,N,N,4020_Wait_on_Equipment,Unscheduled Process Down,EX8047,LBH R996B,Liebherr R996 B Series Shovel,Shovel Classes,27-07-2020 15:46,27-07-2020 15:53,443
8483,10722536692,PC High torqure convertor ,N,N,Y,5000_Unscheduled_Maintenance,Unscheduled Equipment Down,DT5306,CAT 793F CMD,Caterpillar 793 F Autonomous Mining Truck,Truck Classes,27-07-2020 15:43,27-07-2020 16:17,2023
8484,10721959211,,N,N,Y,7440 Obstacle Detection,Unscheduled Process Down,DT5214,CAT 793F CMD,Caterpillar 793 F Autonomous Mining Truck,Truck Classes,26-07-2020 15:01,26-07-2020 15:02,25
8485,10721959429,,N,N,Y,7440 Obstacle Detection,Unscheduled Process Down,DT5213,CAT 793F CMD,Caterpillar 793 F Autonomous Mining Truck,Truck Classes,26-07-2020 15:01,26-07-2020 15:15,823
8486,10721961466,Behind Delayed Machine,N,N,N,7410_Behind_Delayed_Machine,Unscheduled Process Down,DT5272,CAT 793F CMD,Caterpillar 793 F Autonomous Mining Truck,Truck Classes,26-07-2020 15:02,26-07-2020 15:02,9
8487,10721961492,Behind Delayed Machine,N,N,N,7410_Behind_Delayed_Machine,Unscheduled Process Down,DT5272,CAT 793F CMD,Caterpillar 793 F Autonomous Mining Truck,Truck Classes,26-07-2020 15:02,26-07-2020 15:15,743
8488,10721961834,,N,N,Y,7490 Deadlock,Unscheduled Process Down,DT5171,CAT 793F CMD,Caterpillar 793 F Autonomous Mining Truck,Truck Classes,26-07-2020 14:57,26-07-2020 15:05,498
8489,10721961845,,N,N,Y,7490 Deadlock,Unscheduled Process Down,DT5225,CAT 793F CMD,Caterpillar 793 F Autonomous Mining Truck,Truck Classes,26-07-2020 15:02,26-07-2020 15:03,92
8490,10721961902,,N,N,Y,7490 Deadlock,Unscheduled Process Down,DT5225,CAT 793F CMD,Caterpillar 793 F Autonomous Mining Truck,Truck Classes,26-07-2020 15:03,26-07-2020 15:04,10
8491,10721961954,,N,N,Y,7490 Deadlock,Unscheduled Process Down,DT5225,CAT 793F CMD,Caterpillar 793 F Autonomous Mining Truck,Truck Classes,26-07-2020 15:04,26-07-2020 15:05,51
8492,10721962058,MACHINE GEN Started a delay: 4020_Wait_on_Equipment,N,N,N,4020_Wait_on_Equipment,Unscheduled Process Down,EX7026,LBH R9400,Liebherr R9400 Excavator,Shovel Classes,26-07-2020 15:04,26-07-2020 15:04,17
8493,10721962418,MACHINE GEN Started a delay: 4190_Unscheduled_Idle,N,N,N,4190_Unscheduled_Idle,Unscheduled Process Down,WL7032,994H,Wheel Loader,Loader Classes,26-07-2020 15:06,26-07-2020 16:57,6654
8494,10721962716,MACHINE GEN Started a delay: 2110_Operator_Hot_Seat,N,N,Y,2110_Operator_Hot_Seat,Scheduled Process Down,EX7021,LBH R9400,Liebherr R9400 Excavator,Shovel Classes,26-07-2020 15:07,26-07-2020 15:11,232
8495,10721962882,,N,N,Y,7440 Obstacle Detection,Unscheduled Process Down,DT5266,CAT 793F CMD,Caterpillar 793 F Autonomous Mining Truck,Truck Classes,26-07-2020 15:07,26-07-2020 15:08,47
8496,10721962984,MACHINE GEN Started a delay: 4030_Road/Face/Bench_Preparation,N,N,Y,4030_Road/Face/Bench_Preparation,Unscheduled Process Down,EX8044,LBH R996B,Liebherr R996 B Series Shovel,Shovel Classes,26-07-2020 15:08,26-07-2020 15:11,158
8497,10721964968,MACHINE GEN Started a delay: 2110_Operator_Hot_Seat,N,N,Y,2110_Operator_Hot_Seat,Scheduled Process Down,EX8047,LBH R996B,Liebherr R996 B Series Shovel,Shovel Classes,26-07-2020 15:14,26-07-2020 15:18,277
8498,10721965669,,N,N,Y,7440 Obstacle Detection,Unscheduled Process Down,DT5293,CAT 793F CMD,Caterpillar 793 F Autonomous Mining Truck,Truck Classes,26-07-2020 15:16,26-07-2020 15:16,24
8499,10721965721,MACHINE GEN Started a delay: 2020_Refuelling,Y,N,N,2020_Refuelling,Scheduled Process Down,WL6301,Cat992K,Caterpillar 992 K Series Wheel Loader,Loader Classes,26-07-2020 15:16,26-07-2020 15:30,832
8500,10721965887,A scheduled assignment arrival delay.,Y,N,N,2020_Refuelling,Scheduled Process Down,DT5216,CAT 793F CMD,Caterpillar 793 F Autonomous Mining Truck,Truck Classes,26-07-2020 15:17,26-07-2020 15:47,1800
8501,10721968860,Daily Service,N,N,Y,2060_Relocation,Scheduled Process Down,EX8049,LBH R996B,Liebherr R996 B Series Shovel,Shovel Classes,26-07-2020 15:19,26-07-2020 15:25,397
8502,10721969299,MACHINE GEN Started a delay: 4030_Road/Face/Bench_Preparation,N,N,Y,4030_Road/Face/Bench_Preparation,Unscheduled Process Down,EX8044,LBH R996B,Liebherr R996 B Series Shovel,Shovel Classes,26-07-2020 15:20,26-07-2020 15:22,85
8503,10721970029, - [STOP_MACHINE : [PRIMARY_BRAKE]],N,N,Y,8200 Health Event,Unscheduled Equipment Down,DT5287,CAT 793F CMD,Caterpillar 793 F Autonomous Mining Truck,Truck Classes,26-07-2020 15:23,26-07-2020 15:24,66
8504,10721970171,MACHINE GEN Started a delay: 4030_Road/Face/Bench_Preparation,N,N,Y,4030_Road/Face/Bench_Preparation,Unscheduled Process Down,EX8044,LBH R996B,Liebherr R996 B Series Shovel,Shovel Classes,26-07-2020 15:24,26-07-2020 15:26,137
8505,10721970185," - [STOP_MACHINE : [PRIMARY_BRAKE, BRAKE_CHARGING, PLANNING]]",N,N,Y,8200 Health Event,Unscheduled Equipment Down,DT5287,CAT 793F CMD,Caterpillar 793 F Autonomous Mining Truck,Truck Classes,26-07-2020 15:24,26-07-2020 15:26,109
8506,10721970394,MACHINE GEN Started a delay: 4030_Road/Face/Bench_Preparation,N,N,Y,4030_Road/Face/Bench_Preparation,Unscheduled Process Down,EX7154,LBH R9400,Liebherr R9400 Excavator,Shovel Classes,26-07-2020 15:25,26-07-2020 15:27,125
8507,10721970688, - [STOP_MACHINE : [PRIMARY_BRAKE]],N,N,Y,8200 Health Event,Unscheduled Equipment Down,DT5287,CAT 793F CMD,Caterpillar 793 F Autonomous Mining Truck,Truck Classes,26-07-2020 15:26,26-07-2020 15:26,29
8508,10721970799, - [STOP_MACHINE : [PRIMARY_BRAKE]],N,N,Y,8200 Health Event,Unscheduled Equipment Down,DT5287,CAT 793F CMD,Caterpillar 793 F Autonomous Mining Truck,Truck Classes,26-07-2020 15:26,26-07-2020 15:26,11
8509,10721970825, - [STOP_MACHINE : [PRIMARY_BRAKE]],N,N,Y,8200 Health Event,Unscheduled Equipment Down,DT5287,CAT 793F CMD,Caterpillar 793 F Autonomous Mining Truck,Truck Classes,26-07-2020 15:26,26-07-2020 15:27,18
8510,10721970888,,N,N,Y,7440 Obstacle Detection,Unscheduled Process Down,DT5251,CAT 793F CMD,Caterpillar 793 F Autonomous Mining Truck,Truck Classes,26-07-2020 15:27,26-07-2020 15:27,9
8511,10721970913,,N,Y,Y,7440 Obstacle Detection,Unscheduled Process Down,DT5251,CAT 793F CMD,Caterpillar 793 F Autonomous Mining Truck,Truck Classes,26-07-2020 15:27,26-07-2020 15:38,649
